Source/Request	Already?	Know? (grade)	POPULAR	Title	APP	Artist	Other Artist	Year	Other year	Duplicate	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
Tuzzy Braddy/Tuz Piano 6/7/16				Rocking in the Free World	Y	Neil Young		7			60-70												yes
				Rocky Raccoon	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Roll To Me	Y	Del Amitri		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Rolling in the Deep	Y	Adele		1			10s												yes
				Root Beer Rag	Y	Billy Joel		7															BJC
				Rosalinda's Eyes	Y	Billy Joel		7															BJC
				Round Midnight	Y	Standards		Standards															
				Roxanne	Y	The Police		1978					X										CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Rude	Y	Magic		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Run Around	Y	Blues Traveler		9			90s												yes
				Run For Your Life	Y	The Beatles		6			60s-70s												BFB
				Running On Ice	Y	Billy Joel		8															BJC
				S Wonderful	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				Santa Monica	Y	Everclear		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Satisfaction	Y	The Rolling Stones		6			60s												yes
				Save The Best For Last	Y	Vanessa Williams		1992															RBF
				Save The Last Dance For Me	Y	The Drifters ^^ Michael Buble	Michael Buble	0															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Save Tonight	Y	Eagle Eye Cherry		9			90s												yes
				Savoy Truffle	Y	The Beatles		6			60s-70s												BFB
			Y	Say Goodbye To Hollywood	Y	Billy Joel		7															BJC
				Scandinavian Skies	Y	Billy Joel		7															BJC
05/14/16 Fleischman party	X			Scenes From an Italian Restaurant	Y	Billy Joel		7					X										BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Scream	Y	Usher		1			10s												yes
PRF 3rd only				Secret Agent Man	Y	Johnny Rivers ^^ Blues Traveler		6 ^^ 9															PRF
				Selfless, Cold and Composed	Y	Ben Folds Five		9			90s												BF Scores
05/07/16 Irizarry wedding		A		Send Me On My Way	Y	Rusted Root		9			90s	Pop											LC
		B		Separate Ways	Y	Journey		8			80s				Brillant								sib
				September	Y	Earth, Wind & Fire		7					X										RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Set Fire To the Rain	Y	Adele		1			10s												yes
				Sexy Sadie	Y	The Beatles		6			60s-70s												BFB
				Sgt. Pepper's Lonely Hearts Club Band	Y	The Beatles		6			60s-70s												BFB
				Shameless	Y	Billy Joel		9															BJC
				She Came In Through The Bathroom Window	Y	The Beatles		6			60s-70s												BFB
				She Loves You	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				She Said	Y	Collective Soul		9			90s												yes
				She Said She Said	Y	The Beatles		6			60s-70s												BFB
				She's A Woman	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				She's Always A Woman	Y	Billy Joel		7			60-70												yes
			Y	She's Got A Way	Y	Billy Joel		7															BJC
				She's Leaving Home	Y	The Beatles		6			60s-70s												BFB
				She's Right On Time	Y	Billy Joel		8															BJC
				She's So Cold	Y	The Rolling Stones		1980															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				She’s Got A Way	Y	Billy Joel		7			70s												yes
				Shout	Y	The Isley Brothers		1959															RBF
				Show Me The Way	Y	Peter Frampton		7															CRF
				Signed, Sealed, Delivered I'm Yours	Y	Stevie Wonder		7					X										RBF
				Sir Duke	Y	Stevie Wonder		7															RBF
				Sittin' Up In My Room	Y	Brandy		9															RBF
				Sleeping With The Television On	Y	Billy Joel		8															BJC
				Slow Down	Y	The Beatles		6			60s-70s												BFB
PRF 3rd only				Smoke Gets in Your Eyes	Y	The Platters		1973															PRF
				Smoke On The Water	Y	Deep Purple		7															CRF
PRF 4th only				Smooth Operator	Y	Sade		8															PRF 4th (don't have)
				So In Love	Y	Frank Sinatra		Standards															
				So Nice (Summer Samba)	Y	Antonio Carlos Jobim		Standards															
				Softly, As In A Morning Sunrise	Y	Standards		Standards															
05/07/16 Irizarry wedding		B		Some Nights	Y	Fun		1			10s	Pop											LS
				Somebody Loves Me	Y	Standards		Standards															
				Somebody To Love	Y	Jefferson Airplane		6															CRF
				Somebody To Love	Y	Queen		7															CRF
				Someone To Watch Over Me	Y	Frank Sinatra		Standards															
				Something	Y	The Beatles		6			60s-70s												BFB
				Sometimes A Fantasy	Y	Billy Joel		8															BJC
				Somewhere Along The Line	Y	Billy Joel		7															BJC
PRF 3rd only				Somewhere Out There	Y	Linda Ronstadt		8															PRF
				Song For the Dumped 	Y	Ben Folds Five		9			90s												Piano transcription
				Soul Man	Y	The Blues Brothers ^^ Sam and Dave	Sam and Dave	1967															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Sounds Of Silence	Y	Simon & Garfunkel		6			60s												yes
				Souvenir	Y	Billy Joel		7															BJC
				Space Oddity	Y	David Bowie		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Spiderwebs	Y	No Doubt		9			90s												yes
				Stand By Me	Y	Ben E. King ^^ John Lennon	John Lennon	6															PRF
				Started with a Beer	Y	Frankie Ballard		10						X	Etzel (07/02/2016)								
				State Of Grace	Y	Billy Joel		9															BJC
				Stay (I Missed You)	Y	Lisa Loeb		9															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Stay With Me	Y	Sam Smith		1			10s												yes
				Stayin' Alive	Y	The BeeGees		7															PRF
				Steven's Last Night in Town	Y	Ben Folds Five		9			90s												BF Scores
				Stiletto	Y	Billy Joel		7															BJC
				Still Fighting It 	Y	Ben Folds		0			00s												Piano transcription
				Stop In Nevada	Y	Billy Joel		7															BJC
				Stop! In The Name Of Love	Y	The Supremes		6															RBF
				Storm Front	Y	Billy Joel		9															BJC
				Stormy Weather	Y	Ella Fitzgerald		Standards															
				Strawberry Fields Forever	Y	The Beatles		6			60s-70s												BFB
				Streetlife Serenader	Y	Billy Joel		7															BJC
				Strike Up The Band	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				Stronger	Y	Kelly Clarkson		1			10s												yes
PRF 3rd only				Stuck in the Middle with You	Y	Stealers Wheel		7															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Such Great Heights	Y	The Postal Service		0			00s												yes
				Sugar, Sugar	Y	The Archies		1969															RBF
				Suite: Judy Blue Eyes	Y	Crosby, Stills & Nash		6															CRF
				Summer In The City	Y	The Lovin’ Spoonful		1966															CRF
		A		Summer Of '69	Y	Bryan Adams		8			80s		X		Brillant								CRF
			Y	Summer, Highland Falls	Y	Billy Joel		7															BJC
				Summertime	Y	Ella Fitzgerald		Standards															
				Sun King	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Sunday Morning	Y	Maroon 5		0			00s												yes
				Sunshine Of Your Love	Y	Cream		6															CRF
PRF 4th only				Superstition	Y	Stevie Wonder		7															PRF
				Surfin' U.S.A.	Y	The Beach Boys		6															PRF
				Surprises	Y	Billy Joel		8															BJC
				Money		The Byrds																	CRF
				So You Want To Be A Rock And Roll Star		The Byrds																	CRF
				Cool Jerk		The Capitols																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Surrender	Y	Cheap Trick		8			80s												yes
				Susie-Q	Y	Creedence Clearwater Revival		6															CRF
				Little Egypt		The Coasters																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Sweet Caroline	Y	Neil Diamond		7			70s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Sweet Child of Mine	Y	Guns and Roses		8			80s												yes
				Sweet Dreams (Are Made Of This)	Y	Eurythmics ^^ Marilyn Manson		8 ^^ 9															CRF
				Sweet Emotion	Y	Aerosmith		8															CRF
				Iko Iko		The Dixie Cups																	RBF
				Jesus Is Just Alright		The Doobie Brothers																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Sweet Home Alabama 	Y	Lynyrd Skynyrd		7			60-70												yes
PRF 3rd only				Take a Bow	Y	Madonna		9															PRF
				Take Five	Y	Dave Brubeck		Standards															
				Best Of My Love		The Eagles																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Take It Easy	Y	The Eagles		7			70s												yes
				New Kid In Town		The Eagles																	CRF
				Victim Of Love		The Eagles																	CRF
				Take Me To The River	Y	The Talking Heads		1978															RBF
				Take My Breath Away	Y	Berlin ^^ Top Gun	Top Gun	8															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Take On Me	Y	A-Ha ^^ Reel Big Fish		8 ^^ 9			80s												yes
				Take The Long Way Home	Y	Supertramp		1979															CRF
				Best Of My Love (from BOOGIE NIGHTS)		The Emotions																	RBF
				Takin' Care Of Business	Y	Bachman-Turner Overdrive		7															CRF
				Taxman	Y	The Beatles		6			60s-70s												BFB
				Teach Me Tonight	Y	Frank Sinatra		Standards															
				Tears In Heaven	Y	Eric Clapton		9															CRF
			Y	Tell Her About It	Y	Billy Joel		8															BJC
				Tell Me What You See	Y	The Beatles		6			60s-70s												BFB
				Tell Me Why	Y	The Beatles		6			60s-70s												BFB
				Bernadette		The Four Tops																	RBF
				I Believe In You And Me (from the Touchstone Motion Picture THE PREACHER'S WIFE)		The Four Tops																	RBF
				Temptation	Y	Billy Joel		8															BJC
				It's The Same Old Song		The Four Tops																	RBF
				Thank You Girl	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				That Thing You Do	Y	The Wonders		9			90s												yes
				That's Not Her Style	Y	Billy Joel		9															BJC
				The Ascent of Stan	Y	Ben Folds		0			00s												PV
				These Eyes		The Guess Who																	CRF
				The Ballad Of Billy The Kid	Y	Billy Joel		1973				Singer-songwriter, Pop											BJC
				The Air That I Breathe		The Hollies																	CRF
				It's Your Thing		The Isley Brothers																	RBF
				The Ballad Of John And Yoko	Y	The Beatles		6			60s-70s												BFB
				The Battle of Who Should Care Less	Y	Ben Folds Five		9			90s												BF Scores
				The Best Is Yet To Come	Y	Frank Sinatra		Standards															
				The Bitch Is Back	Y	Elton John		7															CRF
				Looking For A New Love		The Jackson 5																	RBF
				Mama's Pearl		The Jackson 5																	RBF
				Maybe Tomorrow		The Jackson 5																	RBF
				The Boy Is Mine	Y	Brandy & Monica		9															RBF
				The Continuing Story Of Bungalow Bill	Y	The Beatles		6			60s-70s												BFB
				The Downeaster “Alexa”	Y	Billy Joel		9															BJC
05/07/16 Irizarry wedding				The element	Y	O.A.R		0				NO											
				The End	Y	The Beatles		6			60s-70s												BFB
				The Entertainer	Y	Billy Joel		7															BJC
				Kiss And Say Goodbye		The Manhattans																	RBF
				The First Time Ever I Saw Your Face	Y	Roberta Flack		7															RBF
				The Fool On The Hill	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				The General	Y	Dispatch		9			90s												yes
				The Girl From Ipanema	Y	Antonio Carlos Jobim		Standards															
				Tuesday Afternoon (Forever Afternoon)		The Moody Blues																	CRF
				Little Bit O' Soul		The Music Explosion																	CRF
				The Great Pretender	Y	The Platters		5															RBF
				The Great Suburban Showdown	Y	Billy Joel		1974				Singer-songwriter											BJC
PRF 3rd only				(You've Got) The Magic Touch		The Platters																	PRF
Tuzzy Braddy/Tuz Piano 6/7/16				The House of the Rising Sun	Y	The Animals		6			60-70												yes
				The Inner Light	Y	The Beatles		6			60s-70s												BFB
				The Joker	Y	Steve Miller Band		7															PRF
				The Lady Is A Tramp	Y	Frank Sinatra		Standards															
				The Last Polka	Y	Ben Folds Five		9			90s												BF Scores
				The Loco-Motion	Y	Little Eva		6															RBF
				The Logical Song	Y	Supertramp		1979															CRF
				The Long And Winding Road	Y	The Beatles		6			60s-70s												BFB
			Y	The Longest Time	Y	Billy Joel		8															BJC
				The Love You Save	Y	The Jackson 5		1970															RBF
				The Luckiest	Y	Ben Folds		0			00s												PV
				The Magic Bus	Y	The Who		6															CRF
				The Man I Love	Y	Ella Fitzgerald		Standards															
				The Man That Got Away	Y	Frank Sinatra		Standards															
				The Mexican Connection	Y	Billy Joel		1974				Singer-songwriter											BJC
Tuzzy Braddy/Tuz Piano 6/7/16				The Middle	Y	Jimmy Eat World		9			90s												yes
				The More I See You	Y	Standards		Standards															
				The Night Before	Y	The Beatles		6			60s-70s												BFB
				Shattered		The Rolling Stones																	CRF
05/14/16 Fleischman party	X			The River of Dreams	Y	Billy Joel		9															
				Start Me Up		The Rolling Stones																	CRF
				Tumbling Dice		The Rolling Stones																	CRF
				The Shoop Shoop Song (It's In His Kiss)	Y	Betty Everett		6															RBF
				Let Me In		The Sensations																	RBF
PRF 3rd only				The Sign	Y	Ace of Base		9															PRF
				The Stranger	Y	Billy Joel		7															BJC
				I'll Take You There		The Staple Singers																	RBF
				If You're Ready (Come Go With Me)		The Staple Singers																	RBF
				I Hear A Symphony		The Supremes																	RBF
				Love Is Like An Itching In My Heart		The Supremes																	RBF
				The Twist	Y	Chubby Checker		6															RBF
				The Way We Were	Y	Barbara Streisand		7															PRF
				The Way You Do The Things You Do	Y	The Temptations		6															RBF
				The Word	Y	The Beatles		6			60s-70s												BFB
				I Can't Get Next To You		The Temptations																	RBF
				I'm Losing You (I Know)		The Temptations																	RBF
				Just My Imagination (Running Away With Me)		The Temptations																	RBF
				There's A Place	Y	The Beatles		6			60s-70s												BFB
				These Boots Are Made For Walkin'	Y	Nancy Sinatra		6															PRF
				They All Laughed	Y	Standards		Standards															
				They Can't Take That Away From Me	Y	Frank Sinatra		Standards															
				A Lover's Concerto		The Toys		1966															PRF
				Things We Said Today	Y	The Beatles		6			60s-70s												BFB
				Think For Yourself	Y	The Beatles		6			60s-70s												BFB
				This Boy (Ringo's Theme)	Y	The Beatles		6			60s-70s												BFB
				This Is The Time	Y	Billy Joel		8															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				This Love	Y	Maroon 5		0			00s												yes
				This Night	Y	Billy Joel		8															BJC
				This Will Be (An Everlasting Love)	Y	Natalie Cole		7															RBF
				Thou Swell	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				Three Little Birds	Y	Bob Marley		6			60-70												yes
				Three Times A Lady	Y	Lionel Richie ^^ Johnny Mathis		9															RBF
				Through The Long Night	Y	Billy Joel		8															BJC
05/14/16 Fleischman party	X			Thunder Road	Y	Bruce Springsteen		7					X										
				Better Be Good To Me		Tina Turner																	RBF
				I Don't Wanna Fight (from the Touchstone Motion Picture WHAT'S LOVE GOT TO DO WITH IT)		Tina Turner																	RBF
				Ticket To Ride (featured in the Motion Picture HELP!)	Y	The Beatles		6			60s-70s												BFB
				Time After Time	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				Tiny Dancer	Y	Elton John		7			70s												yes
				Hello, It's Me		Todd Rundgren																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Titanium	Y	David Guetta		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				To Make You Feel My Love	Y	Adele ^^ Bob Dylan ^^ Billy Joel		9			90s												yes
				Tom and Mary	Y	Ben Folds Five		9			90s												BF Scores
				Tomorrow Is Today	Y	Billy Joel		7															BJC
				Tomorrow Never Knows	Y	The Beatles		6			60s-70s												BFB
				Mother		Tommy James & The Shondells																	CRF
				Too Marvelous For Words	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				Torn	Y	Natalie Imbruglia		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Touch of Grey	Y	Grateful Dead		8			80s												yes
				Travelin' Prayer	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Treasure	Y	Bruno Mars		1			10s												yes
				Trusted	Y	Ben Folds		0			00s												Piano transcription
				Turn Around	Y	Billy Joel		7															BJC
				Tutti Frutti	Y	Little Richard		6															RBF
				Twist And Shout	Y	The Beatles		6															CRF
				Two For The Road	Y	Standards		Standards															
05/07/16 Irizarry wedding				Two hands up	Y	O.A.R		0															LS
				Two Of Us	Y	The Beatles		6			60s-70s												BFB
				Two Out Of Three Ain't Bad	Y	Meat Loaf		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Umbrella	Y	Rihanna		0			00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Unbreak My Heart	Y	Toni Braxton		9			90s												yes
				Uncle Walter 	Y	Ben Folds Five		9			90s												Piano transcription
				Under The Boardwalk	Y	The Drifters		1964															PRF
				Underground	Y	Ben Folds Five		9			90s												BF Scores
				I Have Nothing		Whitney Houston																	RBF
				Until The Night	Y	Billy Joel		7															BJC
				I'm Your Baby Tonight		Whitney Houston																	RBF
				It's Not Right But It's Okay		Whitney Houston																	RBF
				Count On Me (from WAITING TO EXHALE)		Whitney Houston & CeCe Winans																	RBF
				Up On The Roof	Y	The Drifters		1962															RBF
				634-5789		Wilson Pickett		1966															RBF
				In The Midnight Hour		Wilson Pickett																	RBF
				Land Of A Thousand Dances		Wilson Pickett																	RBF
				Uptight (Everything's Alright)	Y	Stevie Wonder		7															RBF
05/14/16 Fleischman party	X			Uptown Girl	Y	Billy Joel		8															
PRF 4th only				Everything I Do, I Do It For You	LEARN			1991															PRF 4th (don't have)
				1 2 3																			RBF
				Islands In The Stream	LEARN																		PRF
Must learn				Scotty Doesn't Know 	Learn																		
				Sexual Healing	LEARN																		RBF
				A Lover's Question				1958															PRF
				A Teenager In Love								Jazz, Britpop, R&B/soul, Easy listening, Classical, World, Schlager/volksmusik, Doo wop, Rockabilly, Rock, Blues, Pop											PRF
PRF 3rd only				Achy Breaky Heart (Don't Tell My Heart)																			PRF
				After The Love Has Gone																			RBF
PRF 4th only				Against All Odds (Take A Look At Me Now) (from AGAINST ALL ODDS)																			PRF
PRF 4th only				Ahab The Arab																			PRF
				Ain't Got No Home																			RBF
				Ain't Nothing Like The Real Thing																			RBF
				All Around The World																			PRF
				All Cried Out																			RBF
				All For Love (from Walt Disney Pictures' THE THREE MUSKETEERS)																			PRF
				All In Love Is Fair																			RBF
				All Out Of Love																			PRF
				All Right Now																			CRF
				All Shook Up																			PRF
PRF 3rd only				All Those Years Ago																			PRF
PRF 3rd only				All Through the Night																			PRF
				Alone																			PRF
				Alone Again (Naturally)																			PRF
				Alone At Last																			RBF
PRF 4th only				Along Comes Mary																			PRF
PRF 4th only				Amazed																			PRF
				And When I Die																			CRF
PRF 4th only				Angel																			PRF
PRF 4th only				Angel Flying Too Close To The Ground																			PRF
				Angel Of The Morning																			PRF
PRF 4th only				Another Day In Paradise																			PRF
				Another Sad Love Song																			RBF
				Anytime You Need A Friend																			RBF
				As																			RBF
				At My Front Door																			RBF
				At The Hop																			PRF
				Atlantis																			CRF
PRF 3rd only				Axel F																			PRF
				Baby I Need Your Lovin'							Motown												RBF
				Baby Love							Motown												RBF
				Baby What A Big Surprise																			PRF
				Baby Workout																			RBF
PRF 4th only				Baby, Come To Me																			
				Baby, What You Want Me To Do																			RBF
				Back In My Arms Again																			RBF
PRF 4th only				Back In The High Life Again																			
				Back In The Saddle																			CRF
PRF 3rd only				Bad Blood																			PRF
				Bad Idea				9			90s												BF Scores
		C		Bad Medicine				8			80s				Brillant								CRF
PRF 3rd only				Baker Street																			PRF
				Ball Of Confusion (That's What The World Is Today)																			RBF
				Ballroom Blitz																			CRF
PRF 4th only				Be-Bop-A-Lula																			
PRF 4th only				Beep Beep																			PRF
				Before You Walk Out Of My Life																			RBF
				Ben (from BEN)																			RBF
PRF 4th only				Big Bad John																			PRF
PRF 4th only				Biggest Part Of Me																			
PRF 3rd only				Billy, Don't Be a Hero																			PRF
PRF 3rd only				Blaze of Glory																			PRF
				Blue Bayou																			PRF
				Blue Collar Man (Long Nights)																			CRF
				Blue Sky																			CRF
				Blue Suede Shoes (from G.I. BLUES)																			PRF
				Blueberry Hill																			PRF
PRF 3rd only				Boogie Fever																			PRF
PRF 4th only				Boogie Nights																			
				Book Of Love																			PRF
				Born Free (from the Columbia Pictures' Release BORN FREE)																			PRF
				Brand New Key																			PRF
				Brandy (You're A Fine Girl)																			PRF
				Breaking Up Is Hard To Do																			PRF
PRF 4th only				Breathe																			PRF
				Breathe Again																			RBF
				Breathe Again																			PRF
PRF 3rd only				Brother Louie																			PRF
				Buffalo Stance																			RBF
				Bug A Boo																			RBF
				Bus Stop																			CRF
				But I Do (I Don't Know Why)																			RBF
				But It's Alright																			RBF
				Bye Bye Love																			PRF
PRF 4th only				C'mon Marianne																			PRF
				Calendar Girl																			PRF
PRF 3rd only				California Dreamin'																			PRF
PRF 4th only				California Sun																			PRF
				Call Me The Breeze																			CRF
				Can't Let Go																			RBF
PRF 3rd only				Can't We Try																			PRF
PRF 4th only				Candida																			PRF
PRF 3rd only				Car Wash																			PRF
PRF 3rd only				Careless Whisper																			PRF
PRF 4th only				Cathy's Clown																			PRF
				Chains Of Love																			RBF
PRF 3rd only				Chanson d'Amour (The Ra-Da-Da-Da-Da Song)																			PRF
				Chante's Got A Man																			RBF
				Chantilly Lace																			PRF
				Charlie Brown																			PRF
				Cherish																			PRF
				Chevy Van																			PRF
				Claire (Clair)																			PRF
				Cloud Nine																			RBF
				Cold Sweat, Pt. 1																			RBF
PRF 3rd only				Cold-Hearted																			PRF
				Come See About Me																			RBF
				Could It Be Magic																			PRF
PRF 4th only				Crimson And Clover																			PRF
				Cruisin' (from DUETS)																			RBF
PRF 4th only				Crystal Blue Persuasion																			
		C		Cuts Like A Knife				8			80s				Brillant								CRF
				Daddy Dance With Me										X	Etzel (07/02/2016)								
PRF 4th only				Daddy's Home																			
				Dance With Me																			RBF
PRF 4th only				Dance With Me Henry (The Wallflower)																			PRF
				Dancing In The Street (featured in GOOD MORNING VIETNAM)																			PRF
PRF 4th only				Dawn (Go Away)																			PRF
				Daydream																			PRF
				Dedicated To The One I Love																			RBF
				Devil Or Angel																			PRF
				Devil With The Blue Dress																			RBF
				Did You Ever Have To Make Up Your Mind?																			PRF
				Die a Happy Man										X	Etzel (07/02/2016)								
PRF 4th only				Disco Lady																			PRF
PRF 4th only				Dizzy																			PRF
				Do It ('Til You're Satisfied)																			PRF
PRF 4th only				Do That To Me One More Time																			PRF
				Do The Funky Chicken																			RBF
				Do You Know Where You're Going To? (Theme from MAHOGANY)																			RBF
				Do You Love Me																			RBF
PRF 3rd only				Do You Really Want to Hurt Me																			PRF
				Do You Want To Dance?																			RBF
				Do Your Thing																			RBF
PRF 3rd only				Doctor! Doctor!																			PRF
				Don't Be Cruel (To A Heart That's True)																			PRF
PRF 4th only				Don't Cry Out Loud (We Don't Cry Out Loud) (from THE BOY FROM OZ)																			PRF
PRF 4th only				Don't Fall In Love With A Dreamer																			
PRF 3rd only				Don't Give Up on Us																			PRF
				Don't Go Breaking My Heart																			PRF
				Don't Know Much																			PRF
				Don't Let The Sun Go Down On Me (featured in the Motion Picture LOST BOYS)																			PRF
				Don't Make Me Over																			RBF
				Don't Say Nothin' Bad About My Baby																			RBF
				Don't Take It Personal (Just One Of Dem Days)																			RBF
PRF 3rd only				Don't Talk to Strangers																			PRF
				Don't Want To Be A Fool																			RBF
				Don't You Worry 'Bout A Thing																			RBF
PRF 4th only				Donna																			PRF
				Doo Doo Doo Doo Doo (Heartbreaker)																			CRF
05/07/16 Irizarry wedding				Double Dutch bus								NO											
PRF 4th only				Down In The Boondocks																			PRF
PRF 3rd only				Downtown																			PRF
				Draw The Line																			CRF
				Dream Baby (How Long Must I Dream)																			PRF
				Dreamer																			CRF
				Duke Of Earl																			RBF
PRF 4th only				Easier Said Than Done																			PRF
				Easy																			RBF
PRF 4th only				Easy Lover																			
PRF 4th only				Elenore																			PRF
PRF 4th only				Elvira																			
				Emotion																			RBF
				Emotional Rescue																			CRF
				Emotions																			RBF
				Endless Love (from ENDLESS LOVE)																			PRF
				Eternal Flame																			PRF
				Everybody Have Fun Tonight																			PRF
				Everybody Plays The Fool, Sometime																			RBF
PRF 3rd only				Everything She Wants																			PRF
				Everytime I Close My Eyes																			RBF
				Everytime You Go Away																			PRF
				Eye In The Sky																			CRF
PRF 4th only				Fever																			PRF
				Flashdance...What A Feeling (from the Paramount Picture FLASHDANCE)																			PRF
05/14/16 Fleischman party				Fool in the Rain																			LC
				Fooling Yourself (The Angry Young Man)																			CRF
				Fools Fall In Love																			RBF
				For Your Love																			CRF
				For Your Precious Love																			RBF
				Forever																			RBF
				Forever Your Girl																			PRF
				Freeze Frame																			CRF
PRF 3rd only				Friends & Lovers (Both to Each Other)																			PRF
PRF 4th only				From A Distance																			PRF
PRF 4th only				Games People Play																			PRF
				Gee Whiz																			RBF
				Georgy Girl (from GEORGY GIRL)																			PRF
PRF 4th only				Get A Job																			PRF
PRF 4th only				Get Down Tonight																			PRF
				Get It On Tonite																			RBF
				Get Up (I Feel Like Being A Sex Machine)																			RBF
				Give It Up Or Turnit A Loose																			RBF
PRF 3rd only				Give Me Just A Little More Time																			PRF
				Give Me Love (Give Me Peace On Earth)																			CRF
PRF 4th only				Give Me The Night																			
PRF 3rd only				Gloria																			PRF
				Gloria																			PRF
PRF 4th only				Glory Of Love (Theme from KARATE KID PART II)																			
				Go Away, Little Girl																			PRF
				Go Now																			CRF
				Godzilla																			CRF
PRF 3rd only				Goin' Out of My Head																			PRF
				Going To A Go-Go																			RBF
				Good Luck Charm																			PRF
				Goodbye Cruel World																			PRF
PRF 4th only				Goodbye To Love																			
				Got To Be There																			RBF
				Got To Give It Up																			RBF
				Grazing In The Grass																			RBF
				Grease (from GREASE)																			PRF
				Green Green Grass Of Home																			PRF
				Green Onions																			RBF
				Green-Eyed Lady																			CRF
				Groovin'																			RBF
				Gypsys, Tramps And Thieves																			PRF
				Hair Of The Dog																			CRF
				Hallelujah, I Love Her So																			RBF
PRF 3rd only				Hands to Heaven																			PRF
				Hanky Panky																			PRF
				Happy Days (Theme from the Paramount Television Series HAPPY DAYS)																			PRF
				Happy, Happy Birthday Baby																			RBF
				Hard Habit To Break																			PRF
PRF 3rd only				Hard Headed Woman																			PRF
				Hard To Say I'm Sorry																			PRF
				He Don't Love You (Like I Love You)																			RBF
				He's A Rebel																			PRF
				He's Sure The Boy I Love																			RBF
				Heart And Soul																			CRF
				Heartbreaker																			RBF
				Heaven																			CRF
				Heaven																			PRF
				Heaven Help Us All																			RBF
				Heaven Is A Place On Earth																			PRF
				Hello Mary Lou																			PRF
				Hello Old Friend																			CRF
PRF 4th only				Help Me Rhonda																			
				Here And Now																			RBF
				Here And Now																			PRF
PRF 4th only				Hey Paula																			
				Hi-Heel Sneakers																			PRF
PRF 4th only				Higher Love																			
				Hiro's Song				0			00s												PV
				His Latest Flame																			PRF
				Hold Me Now (from THE WEDDING SINGER)																			PRF
				Hold On I'm Comin'																			RBF
PRF 4th only				Honeycomb																			PRF
				How Am I Supposed To Live Without You																			PRF
PRF 3rd only				How Can I Fall?																			PRF
				How Can You Mend A Broken Heart																			PRF
				How Deep Is Your Love																			PRF
PRF 4th only				How Much I Feel																			PRF
PRF 4th only				How Will I Know																			
				Hurting Each Other																			PRF
				I Almost Lost My Mind																			PRF
PRF 4th only				I Am Woman																			
				I Believe																			PRF
PRF 4th only				I Can't Dance																			
PRF 4th only				I Can't Go For That (No Can Do)																			
PRF 4th only				I Can't Stop Loving You																			PRF 4th (don't have)
PRF 3rd only				I Don't Wanna Cry																			PRF
				I Got A Woman																			PRF
				I Hear A Symphony																			PRF
PRF 4th only				I Honestly Love You (from THE BOY FROM OZ)																			
PRF 4th only				I Like It Like That																			
PRF 4th only				I Love The Night Life																			
				I Need Your Love Tonight																			PRF
PRF 4th only				I Still Believe																			
				I Want You, I Need You, I Love You																			PRF
PRF 4th only				I Will Remember You (Theme from THE BROTHERS McMULLEN)																			PRF
